compression,batchSize,linger,n_topics,fetch_time,Throughput,Latency
gzip,20476,45,17,16323,19.659770114942532,0.8900867974725629
None,14192,71,11,13400,21.64745762711864,0.8361842806394324
gzip,75300,82,3,27239,14.474074074074073,0.710504105090312
gzip,131648,83,4,13312,13.711111111111112,0.7295026335590665
gzip,167338,41,7,7827,22.53076923076923,0.7631025473546699
snappy,90566,87,10,25183,18.678571428571423,0.8218199718706056
None,220374,7,10,10017,20.752727272727277,0.9507445703493878
snappy,20059,84,13,16038,25.631578947368418,0.8631525500910758
None,146753,52,12,27505,23.103125000000002,0.8227000000000013
gzip,6640,9,10,21784,19.305454545454545,0.7790799619228933
snappy,208757,80,9,22817,18.37647058823529,0.7750134061569011
gzip,170590,24,10,129,17.933333333333334,0.8243585262163449
None,157848,74,17,24441,21.534883720930235,0.9361527406417104
None,186926,96,4,697,24.45,0.7720056315366042
None,238030,60,17,20185,22.822988505747126,0.8937896825396827
None,212852,44,20,12916,31.71481481481482,0.9452282646345698
snappy,70664,51,12,1478,19.89375,0.8139002096436057
None,13748,82,16,25299,22.016666666666666,0.8783523972602718
None,161268,17,17,26559,20.834482758620688,0.9482985123966959
snappy,165728,71,12,17412,19.04375,0.8129059574468078
gzip,119665,99,3,25638,16.777777777777775,0.7267312775330403
None,38770,1,8,16359,20.28085106382979,0.9529606592238175
None,163747,22,1,17150,19.014285714285716,0.6848465723612616
None,27475,17,13,23747,20.837681159420292,0.8500959677419354
snappy,213499,54,20,21676,17.96666666666667,0.9226749488453665
None,46197,30,4,28123,18.775757575757574,0.8567908351810791
snappy,132677,65,2,10280,13.303999999999998,0.6720368663594475
None,120665,8,2,17809,15.6,0.8615894346617254
gzip,99773,69,10,5605,18.538181818181815,0.7852168059424325
snappy,96304,95,9,2995,18.55294117647059,0.8196143497757862
None,217228,42,19,3597,23.040816326530607,0.9040593579648715
snappy,199355,74,9,14842,18.596078431372547,0.7746055916125825
None,254580,24,4,15878,19.43870967741936,0.8860601783060917
gzip,180763,37,8,8596,23.728571428571424,0.7752293798916304
None,65229,25,14,28435,20.89189189189189,0.8916926658905702
gzip,166044,41,7,24617,18.502325581395347,0.7430427350427343
gzip,49012,61,14,16440,19.378666666666675,0.849422492401218
gzip,42216,51,10,18660,19.02909090909091,0.7894302434456928
None,256547,75,7,7726,21.30697674418604,0.7578096906012859
None,50788,33,10,21464,22.930909090909097,0.8150320301460195
snappy,135267,50,16,22495,19.31666666666667,0.8608012618296526
gzip,205630,35,7,7735,22.499999999999996,0.7634579319203598
snappy,259253,14,4,28862,17.200000000000003,0.7199727740986026
None,241679,74,15,13830,21.97692307692308,0.8685495658465997
None,211432,18,7,3862,20.18139534883721,0.9183773148148137
None,190564,0,10,2822,20.482142857142854,1.0176944312232288
snappy,156193,68,16,5992,25.627272727272725,0.9329079054604743
gzip,193963,72,7,17145,15.318918918918918,0.7420322014051529
snappy,33842,82,12,3261,18.7875,0.8278663829787217
snappy,248663,12,19,12606,20.074747474747472,0.9211284572833442
snappy,37799,90,11,5901,18.979999999999997,0.8492386867790603
None,172545,62,14,3207,22.517333333333337,0.8472394043528064
None,24459,37,11,12990,22.8,0.8713431684067205
gzip,40666,74,5,10300,16.497142857142855,0.737555479918311
snappy,134421,62,6,15013,17.331578947368417,0.7495325406758447
None,101702,67,17,4601,31.96521739130435,0.9383737882900333
gzip,186358,44,19,9710,27.364705882352943,0.9115485021398018
gzip,60142,87,17,13144,18.152941176470588,0.9343751808972508
None,254549,8,6,9558,24.504347826086953,0.8932466063348414
gzip,212119,19,15,3256,18.021276595744677,1.016062348960853
gzip,60380,41,13,19226,18.65625,0.8432625899280576
snappy,186627,22,9,23117,19.037499999999998,0.7824388609715233
gzip,91342,31,14,28017,26.26285714285714,0.9246892712550615
gzip,261784,7,1,5978,13.319999999999999,0.6333319238900639
gzip,202194,47,14,27660,18.9536231884058,0.861754098360655
None,122641,3,19,25823,17.51392405063291,1.0773925470332844
None,7526,47,7,10547,22.064999999999994,0.7566166237113395
snappy,137167,14,20,19445,19.579166666666666,0.9420266343825626
gzip,250507,78,9,27193,17.970833333333328,0.7868395961862018
None,167624,14,16,18006,19.921052631578952,1.0087244693632371
None,99131,98,3,16595,18.97692307692308,0.7257233134073465
None,247271,77,7,11001,20.395,0.7626530483972339
snappy,207747,65,17,26860,18.911111111111115,0.922284515636918
snappy,254493,62,3,2086,15.492307692307692,0.7124931740614342
snappy,54085,13,16,15193,19.771428571428576,0.9747269853812716
snappy,147863,24,1,4846,14.010000000000002,0.6367557411273477
gzip,70667,37,14,21595,19.53235294117647,0.8603465517241367
snappy,144676,77,17,6251,18.676543209876545,0.9279406618486115
gzip,158063,7,14,4442,19.562318840579714,0.9336972198088633
gzip,58512,12,4,22599,16.22666666666667,0.6904340359094452
None,244826,93,10,14422,20.862745098039216,0.8560158982511917
snappy,10590,97,8,24785,17.88181818181818,0.7819151335311572
None,218028,47,12,4242,21.901694915254236,0.8339430622009567
None,195340,56,8,11497,21.56818181818182,0.7831015531660701
snappy,241914,50,4,25190,16.486666666666665,0.7159046129788884
gzip,23917,93,12,29828,24.187878787878788,0.8388856673960601
snappy,13446,24,17,20593,19.548148148148147,0.9350440227703987
snappy,8140,92,19,10576,18.52444444444444,0.9609148486980988
snappy,90988,27,12,8791,19.11,0.8415695238095239
gzip,7806,65,7,12172,18.009999999999998,0.7447742549143949
None,48806,4,2,20117,20.6375,0.6589204322200386
None,232053,15,11,27226,20.267857142857142,0.8398680555555552
None,151760,46,7,16191,21.619999999999997,0.7549232221522963
gzip,256572,41,20,18082,18.974736842105262,0.9053360711841189
snappy,127798,89,6,6797,17.032432432432437,0.7589310344827603
gzip,195357,93,11,26418,18.170909090909092,0.833402190144349
gzip,192379,10,8,6401,18.64090909090909,0.745010005885815
None,234005,91,15,3126,20.80277777777778,0.908853709075838
snappy,93212,45,3,19399,15.469230769230766,0.6928216723549497
snappy,116310,17,4,23954,16.668965517241382,0.6963573103987499
gzip,12068,19,20,8282,19.265263157894736,0.9331055155875299
snappy,123218,35,19,3073,19.404444444444444,0.9035012345678994
None,162625,40,5,22892,21.2969696969697,0.7454416607015049
gzip,222184,4,13,28844,27.047058823529415,0.9423571428571431
snappy,238704,31,2,1360,14.582608695652175,0.6563583489681049
gzip,158450,56,3,8192,15.376923076923077,0.7010878090366582
snappy,72902,43,2,3582,16.65,0.6700806293018671
snappy,159607,68,18,13793,19.117241379310343,0.899689882189883
None,114057,13,11,142,26.882352941176475,0.9326825075834176
snappy,135115,79,3,19425,14.340740740740742,0.712485477178423
None,142481,0,1,9837,15.809999999999999,0.7595560253699796
gzip,217493,1,14,243,19.83888888888889,0.8699451846212387
None,221410,88,1,4050,17.630000000000003,0.6920146750524101
None,18868,59,1,3745,19.25,0.6829663512092534
gzip,245209,20,15,14947,20.28205128205128,0.8987642805495291
gzip,18340,21,19,17916,28.524,0.9781760939167566
None,140986,21,11,24508,20.856666666666666,0.9813477868112012
None,110502,34,9,16179,22.14901960784314,0.8055443937087781
gzip,103408,100,4,26222,17.7,0.749057258064518
snappy,33391,21,19,28615,20.014583333333338,0.8988032429061451
None,251596,100,2,16730,17.93913043478261,0.7228881640260949
gzip,121271,30,16,3355,27.14883720930233,0.9562899552663685
gzip,80889,39,12,21503,17.88181818181818,0.8092792748652624
snappy,146721,23,10,3729,19.77818181818182,0.835369420702756
gzip,42960,90,13,1850,18.86470588235294,0.8368458781362006
gzip,78183,100,12,15828,18.915625,0.7956804079897993
snappy,10232,72,14,11185,19.02702702702703,0.8355193474962076
snappy,85553,9,19,22659,20.07216494845361,0.94358985462419
snappy,72567,47,10,131,19.12363636363637,0.8147711184521004
None,72015,81,1,1131,16.254545454545454,0.6844014675052416
None,21131,91,9,4454,21.784615384615385,0.8252921568627456
snappy,79926,50,4,6344,16.5741935483871,0.7179191232048373
snappy,56093,66,8,14478,23.257142857142856,0.7842734422262537
snappy,128860,74,7,13172,21.49230769230769,0.7581036065573791
None,251145,25,10,23330,20.80727272727273,0.8853198113207539
snappy,124891,96,6,18762,17.047368421052635,0.766001252348153
None,76160,26,7,21791,20.293023255813953,0.8214810126582278
gzip,162750,41,2,13804,10.842105263157896,0.6675649663137622
gzip,58879,45,20,5064,19.649019607843137,0.8768185567010317
None,215130,33,4,20279,20.993548387096773,0.7295562130177512
snappy,5499,35,1,23379,13.819999999999999,0.6528857442348006
None,14080,65,2,25829,19.530434782608694,0.6982321924144315
snappy,208463,10,6,884,22.936,0.7279171232876707
snappy,98564,78,18,23522,17.319512195121952,0.9010992907801405
None,167300,55,1,28031,19.8,0.7009664218258141
gzip,208607,83,14,9675,19.03287671232877,0.8512962962962977
gzip,134449,55,19,10471,19.702040816326534,0.9084322321704202
snappy,164061,47,9,16603,18.491999999999997,0.7974676113360329
None,253488,92,13,3777,21.724637681159418,0.8539987844408428
gzip,58181,46,13,3081,19.17464788732394,0.8283429835142753
snappy,55317,28,12,15876,20.421874999999996,0.8393550847457625
None,121381,27,16,6430,20.807317073170733,0.9105462155563306
None,38276,47,2,7035,19.191304347826087,0.6875313376987854
gzip,108086,55,8,15802,18.48510638297872,0.7646915290356974
snappy,6185,32,12,1082,20.481249999999996,0.8268155462184876
gzip,73997,81,1,28401,12.7,0.6694148606811143
snappy,192045,53,18,22616,25.729411764705883,0.9228914436486979
gzip,210856,0,7,12288,18.483720930232554,0.751603977272725
None,169161,39,8,18143,22.3304347826087,0.8043841991341979
None,218124,30,12,14261,21.29375,0.8290348787749879
snappy,52798,20,8,21373,23.64285714285714,0.7773046116504845
gzip,259840,54,1,27511,13.05,0.653278179937952
None,260610,76,7,6182,21.55348837209302,0.760535072463768
snappy,168262,85,6,631,17.066666666666666,0.7558909426987065
snappy,22831,39,11,9955,19.813559322033903,0.8283056300268091
snappy,255328,10,3,13845,15.88888888888889,0.6883648315530001
gzip,182602,5,14,1644,19.757333333333335,0.8915540386803181
gzip,58622,15,12,1256,20.099999999999998,0.8541964809384164
gzip,251677,6,6,22712,22.200000000000003,0.7921026878015148
snappy,189675,59,6,23214,17.94871794871795,0.7447192546583854
snappy,31350,86,14,10845,19.081081081081077,0.854453338391503
snappy,117472,72,5,20732,15.355555555555554,0.7325895166780109
snappy,141097,76,19,14656,18.708196721311477,0.9856483594864479
snappy,97425,97,7,25373,17.869767441860464,0.7711555812608456
gzip,184693,43,8,4250,18.829787234042552,0.7596702184336719
snappy,247129,29,16,22000,20.390243902439025,0.8871370995521883
gzip,154049,19,15,1814,20.47948717948718,0.8928460982658963
snappy,100562,96,5,29381,16.18857142857143,0.749901360544218
gzip,175928,59,2,11501,14.444444444444445,0.6876487006737244
snappy,92983,18,7,8283,19.13953488372093,0.7451240666283746
gzip,32294,13,11,17455,26.88235294117647,0.8100385192596284
gzip,260028,83,9,9620,18.815686274509797,0.7835437469105284
gzip,82233,32,4,14887,16.72258064516129,0.7262900820283368
None,135763,55,11,24331,22.96333333333333,0.8459735188509871
gzip,209426,55,12,20445,19.834375000000005,0.793058873002522
gzip,174301,27,7,22233,18.514285714285716,0.7775591334894629
gzip,200723,47,16,11380,19.548780487804876,0.8683223226703722
None,197940,45,14,13673,31.151219512195116,0.8797183406113543
gzip,148334,34,9,12131,24.89333333333333,0.7809504504504501
snappy,155171,6,3,22006,14.316666666666668,0.7056202118989403
gzip,203002,30,17,6645,20.40689655172414,0.9151185258964133
None,139525,81,9,5812,21.29019607843137,0.8117284999999994
None,108492,65,17,11928,22.666666666666664,0.8993958611481966
snappy,15242,30,5,14834,17.954285714285717,0.724524324324324
snappy,164496,8,16,20461,20.463414634146343,0.8971617954070971
None,64624,77,20,18531,21.842718446601946,0.9100975680370603
gzip,62693,84,10,7336,23.674999999999997,0.8106894179894178
snappy,176119,56,14,10242,19.761643835616436,0.8428410217308444
snappy,195337,39,13,6074,20.043478260869566,0.8297174085850544
snappy,32318,84,17,15520,19.055172413793102,0.9125097511768665
gzip,36497,50,17,1079,19.65287356321839,0.8898183632734514
gzip,152407,83,11,6996,24.42285714285714,0.8243953953953967
gzip,208553,29,6,22060,18.687179487179492,0.7245993827160501
snappy,195503,1,13,3190,26.542105263157897,0.8780557880055785
snappy,36130,31,17,14041,20.538636363636368,0.9151673862504136
snappy,41847,25,16,15128,20.633734939759034,0.8932739160357859
snappy,86204,96,4,28503,15.600000000000001,0.7367016491754111
None,122037,27,1,18090,16.98,0.6934843749999992
gzip,143080,56,14,5898,25.97073170731707,0.8711013805004306
snappy,236210,82,9,28840,23.44516129032258,0.8318796450360508
None,160610,83,2,6566,17.956521739130434,0.6959548802946597
snappy,47012,71,4,6891,15.729032258064517,0.7201793921423268
None,213478,99,9,25184,21.4078431372549,0.8392616541353387
snappy,107778,23,5,22280,18.194285714285716,0.728079107505071
None,143819,4,15,14491,20.44102564102564,1.0154083694083733
snappy,209545,52,4,3011,16.664516129032258,0.712659985152189
None,40951,91,8,8518,27.300000000000004,0.7996123427201917
gzip,138027,23,20,1813,18.466666666666665,0.8984805155875307
gzip,201182,7,18,8217,20.16304347826087,0.930388853092782
snappy,77396,97,12,4864,18.831249999999994,0.8398457288567791
